English Title,Tagalog Title,Meaning
Religion,Relihiyon,"Si Don Rafael ay tumangging mangumpisal bilang prinsipyo, na nagpakita ng salungatan ng personal na paniniwala laban sa mapang-aping simbahan."
Religion,Relihiyon,"Si Elías ay nanalig sa Diyos ngunit tinanggihan ang pagkukunwari at pang-aabuso ng mga pari bilang anyo ng tunay na pananampalataya."
Religion,Relihiyon,"Ang mga prusisyon at pista ay ginamit ng mga prayle upang mangalap ng yaman at impluwensiya kaysa sa pagpapalalim ng pananampalataya."
Religion,Relihiyon,"Ginamit ni Padre Damaso ang relihiyon upang ipataw ang kapangyarihan, gaya ng pagpapahukay at paglilipat ng bangkay ni Don Rafael."
Religion,Relihiyon,"Ang pagkakaiba ng liwanag at dilim ay inihalintulad sa wagas na pananampalataya laban sa huwad na paniniwala."
Religion,Relihiyon,"Ipinakita sa simbahan ang doble-karang mukha: debosyon sa publiko ngunit katiwalian at kasakiman sa likod ng kapangyarihan."
Religion,Relihiyon,"Ang relihiyon ay ginamit bilang kasangkapan ng pananakop, hindi lamang paniniwala kundi paraan ng pamamahala sa isip at damdamin ng mga tao."
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,"Si Don Rafael ay maling inakusahan bilang erehe at pilibustero, na nagpakita ng pang-aabuso ng kapangyarihan ng simbahan laban sa inosente."
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,"Ang pagkamatay ni Don Rafael sa bilangguan ay sumasalamin sa kawalang-katarungan na dulot ng maling paratang at huwad na mga testigo."
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,"Ang pagpapalayas kay Ibarra at ang pagsira sa kanyang reputasyon ay bunga ng galit at paghihiganti ni Padre Damaso gamit ang impluwensiya ng simbahan."
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,"Ang kawalang-katarungan sa buhay nina Crispin at Basilio ay resulta ng kapangyarihan ng sakristan mayor at ng sistemang kolonyal."
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,"Si Sisa ay sumailalim sa matinding hirap dahil sa kawalan ng hustisya, na sumasalamin sa kawalang-boses ng mga mahihirap sa lipunan."
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,"Ang banggaan ng kura at alperes ay nagdulot ng mga patakarang mapanakit sa mga tao, gaya ng curfew na nakaapekto sa mga kabataan."
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,"Ang pagpapahirap sa mga bilanggo na pinapalo ng gwardiya sibil ay kongkretong halimbawa ng pang-aabuso sa kapangyarihan."
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,"Si Padre Salvi ay gumamit ng relihiyon upang takutin at kontrolin ang mga tao, nagpapakita ng ugnayan ng simbahan at kawalang-katarungan."
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,"Ang mga huwad na saksi laban kay Don Rafael ay sumasalamin sa sistematikong katiwalian ng hustisya."
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,"Si Tarsilo at ang kanyang mga kasamahan ay pinahirapan hanggang mamatay, na malinaw na larawan ng kawalang-katarungan sa ilalim ng kolonyal na kapangyarihan."
Education,Edukasyon,"Si Ibarra ay nagbalik mula Europa na may dalang ideya ng makabagong edukasyon upang maiangat ang kabataan sa San Diego."
Education,Edukasyon,"Pinlano ni Ibarra ang pagtatayo ng paaralan upang bigyan ng pagkakataon ang mga batang Pilipino na magkaroon ng kaalaman na hindi kontrolado ng simbahan."
Education,Edukasyon,"Si Pilosopo Tasyo ay sagisag ng katalinuhan na hindi kinikilala, dahil tinuring siyang baliw sa kabila ng kanyang karunungan."
Education,Edukasyon,"Ang pagbabawal sa mga Indio na matuto ng wikang Kastila ay patunay ng kolonyal na kontrol sa edukasyon."
Education,Edukasyon,"Itinuro ng guro kay Ibarra na ang karunungan ay liwanag laban sa dilim ng kamangmangan, na nagsilbing inspirasyon sa kanyang proyekto."
Education,Edukasyon,"Ang kawalan ng reporma sa mga paaralan sa ilalim ng pamahalaang Kastila ay nagpigil sa pag-unlad ng lipunan."
Education,Edukasyon,"Ipinakita ang kabiguan ng sistemang kolonyal sa pagpapahalaga sa kaalaman, na nagbunga ng pagkakait sa kabataan ng tamang edukasyon."
Education,Edukasyon,"Ang paghahambing ni Ibarra sa mga paaralan sa Europa at Pilipinas ay naglantad ng malaking agwat sa kaalaman at pamumuno."
Education,Edukasyon,"Naging simbolo ng pag-asa ang plano ni Ibarra sa paaralan, bagaman ito ay nahadlangan ng kapangyarihan ng simbahan."
Education,Edukasyon,"Si Elías ang nagpamulat kay Ibarra na hindi sapat ang edukasyon kung ito’y hawak pa rin ng tiwaling sistema."
Family and Honor,Pamilya at Dangál,"Ipinaglaban ni Ibarra ang alaala ng kanyang ama sa pamamagitan ng pagtatayo ng paaralan bilang tanda ng dangal ng kanilang pamilya."
Family and Honor,Pamilya at Dangál,"Si María Clara ay isinakripisyo ang sariling kalayaan upang itago ang lihim ng kanyang ina at mapanatili ang dangal ng pamilya."
Family and Honor,Pamilya at Dangál,"Ang kasaysayan ng pamilya ni Elías, mula sa yaman hanggang sa kahihiyan, ay nagtulak sa kanya tungo sa paghihirap at pakikibaka."
Family and Honor,Pamilya at Dangál,"Si Sisa ay nagpakita ng pagiging inang handang tiisin ang kahihiyan at sakit upang hanapin ang kanyang mga anak."
Family and Honor,Pamilya at Dangál,"Ang pakikipag-ugnayan nina Ibarra at María Clara ay hindi lamang pag-ibig kundi tunggalian ng dangal at obligasyon ng pamilya."
Family and Honor,Pamilya at Dangál,"Si Don Rafael ay nanindigan laban sa simbahan upang mapanatili ang kanyang dangal bilang isang makatarungang tao."
Family and Honor,Pamilya at Dangál,"Ang pagpapakasal na pinilit kay María Clara ay halimbawa ng sakripisyong ginawa para sa reputasyon ng pamilya."
Family and Honor,Pamilya at Dangál,"Si Elías ay nagtago ng kanyang tunay na pinagmulan upang hindi madungisan ang kanyang dangal at ang dangal ng iba."
Family and Honor,Pamilya at Dangál,"Ang plano ng kanilang mga magulang na ipakasal sina Ibarra at María Clara ay patunay ng ugnayan ng dangal at pakinabang."
Family and Honor,Pamilya at Dangál,"Ang dangal ng pamilya ay ipinakita bilang puwersang nakakapag-angat ngunit maaari ring maging pabigat sa kapalaran ng bawat tauhan."
Sacrifice,Pag-aalay at Pagsasakripisyo,"Itinuro ni Don Rafael kay Ibarra na kailangang magsakripisyo sa kasalukuyan para sa ikabubuti ng kinabukasan."
Sacrifice,Pag-aalay at Pagsasakripisyo,"Si Ibarra ay nagsakripisyo ng personal na kapakanan upang ipagpatuloy ang pangarap ng edukasyon para sa bayan."
Sacrifice,Pag-aalay at Pagsasakripisyo,"Si María Clara ay isinuko ang kanyang pag-ibig kay Ibarra upang igalang ang dangal ng kanyang ina."
Sacrifice,Pag-aalay at Pagsasakripisyo,"Si Elías ay inialay ang kanyang buhay upang iligtas si Ibarra mula sa kapahamakan."
Sacrifice,Pag-aalay at Pagsasakripisyo,"Ang huling habilin ni Elías kay Basilio ay simbolo ng sakripisyong nagbubukas ng pag-asa para sa susunod na henerasyon."
Sacrifice,Pag-aalay at Pagsasakripisyo,"Si Sisa ay nagtiis ng gutom, sakit, at kahihiyan para lamang sa kapakanan ng kanyang mga anak."
Sacrifice,Pag-aalay at Pagsasakripisyo,"Ang mga kabataang rebelde ay nag-alay ng buhay para sa dangal at katarungan ng bayan."
Sacrifice,Pag-aalay at Pagsasakripisyo,"Si Crispin ay nagsakripisyo ng sariling kaligtasan para maprotektahan ang kanyang kapatid na si Basilio."
Sacrifice,Pag-aalay at Pagsasakripisyo,"Ang kabayanihan ni Don Rafael ay nakaugat sa sakripisyong hindi niya piniling lumihis sa prinsipyo kahit kamatayan ang kapalit."
Sacrifice,Pag-aalay at Pagsasakripisyo,"Si Elías ay kumatawan sa sukdulang sakripisyo ng indibidwal para sa kalayaan ng sambayanan."
Privilege,Pribilehiyo,"Si Ibarra ay nakinabang sa kanyang kayamanan at dugong Kastila, na nagbigay sa kanya ng proteksiyon laban sa mga paratang noong una."
Privilege,Pribilehiyo,"Ang kayamanan ni Ibarra ay nagbukas ng pinto sa mga prayle at opisyal, ipinapakita ang kalakip na pribilehiyo ng yaman sa lipunan."
Privilege,Pribilehiyo,"Nang ipatapon si Ibarra, naranasan niya ang pagkawala ng pribilehiyo at nasilayan ang tunay na anyo ng lipunang kolonyal."
Privilege,Pribilehiyo,"Si Elías ay nawala ang kanyang dangal at yaman dahil sa kasaysayan ng kanyang pamilya, patunay kung gaano kadaling mawala ang pribilehiyo."
Privilege,Pribilehiyo,"Ang pribilehiyo ni Kapitan Tiago bilang malapit sa simbahan at pamahalaan ay nakasalalay lamang sa kanyang kayamanan at pag-aalay."
Privilege,Pribilehiyo,"Si Don Rafael ay iginagalang dahil sa kanyang kayamanan ngunit nawalan ng proteksiyon nang siya’y paratangan ng erehe."
Privilege,Pribilehiyo,"Ipinakita ang pribilehiyo ng mga Kastila na higit na pinapaboran kaysa sa mga Indio sa usapin ng hustisya."
Privilege,Pribilehiyo,"Si Doña Victorina ay ginamit ang huwad na pribilehiyo ng pagkukunwari bilang Kastila upang makaangat sa lipunan."
Privilege,Pribilehiyo,"Ang hindi pantay na pribilehiyo sa lipunan ay nagpalalim ng agwat sa pagitan ng mayaman at mahirap."
Privilege,Pribilehiyo,"Ipinakita sa nobela na ang tunay na pribilehiyo ay madaling maglaho kapag naharap sa katiwalian ng sistemang kolonyal."
Isolation,Pag-iisa,"Si Don Rafael ay nawalay sa lipunan matapos siyang paratangan ni Padre Damaso, na nagdulot ng kanyang pagkakakulong at kamatayan."
Isolation,Pag-iisa,"Si Ibarra ay nakaranas ng pag-iisa matapos siyang itakwil at ipatapon, sa kabila ng kanyang hangaring maglingkod sa bayan."
Isolation,Pag-iisa,"Si Pilosopo Tasyo ay ikinulong ang sarili sa mga aklat dahil sa pagturing ng lipunan na siya’y baliw, simbolo ng pag-iisa ng marurunong."
Isolation,Pag-iisa,"Si María Clara ay nawalay sa mundo nang ipasok siya sa kumbento, malayo sa kanyang pamilya at sa kanyang minamahal na si Ibarra."
Isolation,Pag-iisa,"Si Sisa ay nabaon sa pag-iisa matapos mawalan ng mga anak at tuluyang mawalan ng katinuan."
Isolation,Pag-iisa,"Si Elías ay naglakbay nang nag-iisa, tinatakasan ang anino ng nakaraan ng kanyang pamilya."
Isolation,Pag-iisa,"Ang mga bilanggo na pinahirapan ng gwardiya sibil ay sumisimbolo sa pag-iisa ng mga mahihirap na walang kakampi sa hustisya."
Isolation,Pag-iisa,"Ipinakita sa mga libing at sementeryo ang larawan ng pag-iisa, kung saan ang mga bangkay ay inihiwalay batay sa paratang ng simbahan."
Isolation,Pag-iisa,"Si Basilio ay naiwan mag-isa sa huling bahagi ng nobela, sagisag ng susunod na henerasyong magpapatuloy sa laban."
Isolation,Pag-iisa,"Ang mismong pagsulat ni Rizal sa kanyang pagkatapon ay sumasalamin sa tema ng pag-iisa sa gitna ng kolonyalismo."
Revenge,Paghihiganti,"Ninais ni Ibarra na ipaghiganti ang pagkamatay ng kanyang ama laban kay Padre Damaso ngunit pinili niyang kumilos sa paraang reporma."
Revenge,Paghihiganti,"Si Elías ay halos naghangad ng paghihiganti laban sa pamilya ni Ibarra dahil sa nakaraan, ngunit nanaig ang kanyang malasakit sa bayan."
Revenge,Paghihiganti,"Si Tarsilo ay nag-alay ng buhay upang ipaghiganti ang kanyang ama laban sa pang-aabuso ng mga Kastila."
Revenge,Paghihiganti,"Ang alitan nina Padre Salvi at Alperes ay naging anyo ng paghihiganti na nagdulot ng kapahamakan sa mga inosenteng mamamayan."
Revenge,Paghihiganti,"Si Ibarra ay tinukso ni Padre Damaso sa harap ng lahat, na maaaring maging mitsa ng paghihiganti ngunit kanyang pinigilan."
Revenge,Paghihiganti,"Si Crispin at Basilio ay naging biktima ng paghihiganti ng sakristan mayor na nagparatang ng pagnanakaw sa kanila."
Revenge,Paghihiganti,"Ang mga patibong laban kay Don Rafael ay bunga ng paghihiganti ng kanyang mga lihim na kaaway."
Revenge,Paghihiganti,"Ang galit ni Elías sa mga Kastila ay may halong paghihiganti dahil sa kasaysayan ng kanyang pamilya."
Revenge,Paghihiganti,"Ang plano ng mga rebelde ay nakaugat sa paghihiganti laban sa mga mapang-abusong prayle at opisyal."
Revenge,Paghihiganti,"Ipinakita sa nobela na ang paghihiganti ay nagdudulot lamang ng panibagong siklo ng pagdurusa sa lipunan."
Freedom and Patriotism,Kalayaan at Pagmamahal sa Bayan,"Si Ibarra ay nagbalik sa Pilipinas upang magtayo ng paaralan, sagisag ng kalayaan sa pamamagitan ng edukasyon."
Freedom and Patriotism,Kalayaan at Pagmamahal sa Bayan,"Si Elías ay nanindigan para sa kalayaan ng mga api, handang ialay ang buhay para sa bayan."
Freedom and Patriotism,Kalayaan at Pagmamahal sa Bayan,"Ang mga kabataang nais mag-alsa ay kumakatawan sa sigaw ng kalayaan laban sa kolonyal na pang-aapi."
Freedom and Patriotism,Kalayaan at Pagmamahal sa Bayan,"Ang huling habilin ni Elías kay Basilio ay nagpapatuloy ng mithiin ng kalayaan para sa susunod na henerasyon."
Freedom and Patriotism,Kalayaan at Pagmamahal sa Bayan,"Si Don Rafael ay tumindig laban sa simbahan at pamahalaan bilang pagtatanggol sa dignidad ng mga Pilipino."
Freedom and Patriotism,Kalayaan at Pagmamahal sa Bayan,"Ipinakita sa nobela na ang tunay na pagmamahal sa bayan ay nangangailangan ng sakripisyo at tapang."
Freedom and Patriotism,Kalayaan at Pagmamahal sa Bayan,"Ang paglilibing kay Don Rafael nang walang dangal ay simbolo ng kawalan ng kalayaan sa lipunan."
Freedom and Patriotism,Kalayaan at Pagmamahal sa Bayan,"Si Elías ay tumangging sumama sa himagsikan nang walang plano, patunay ng makabayang disiplina at malasakit."
Freedom and Patriotism,Kalayaan at Pagmamahal sa Bayan,"Ang pangarap ni Ibarra na paaralan ay hindi lamang para sa sarili kundi para sa paglaya ng kaisipan ng kabataan."
Freedom and Patriotism,Kalayaan at Pagmamahal sa Bayan,"Ang pagkamatay ni Elías sa lawa ay nagbukas ng panibagong pag-asa sa kalayaan ng bayan."
Colonial Mentality and Social Climbing,Kolonyal na Kaisipan at Paghahangad Umasenso,"Si Doña Victorina ay nagpanggap bilang Kastila upang maituring na mataas ang kanyang antas sa lipunan."
Colonial Mentality and Social Climbing,Kolonyal na Kaisipan at Paghahangad Umasenso,"Si Don Tiburcio ay ginamit bilang kasangkapan ni Doña Victorina sa kanyang paghahangad ng huwad na dangal."
Colonial Mentality and Social Climbing,Kolonyal na Kaisipan at Paghahangad Umasenso,"Si Kapitan Tiago ay ginamit ang koneksiyon sa simbahan upang makaangat at mapanatili ang impluwensiya."
Colonial Mentality and Social Climbing,Kolonyal na Kaisipan at Paghahangad Umasenso,"Ang mga handaan at magagarang kasuotan ay simbolo ng pagpapakita ng huwad na karangyaan sa lipunan."
Colonial Mentality and Social Climbing,Kolonyal na Kaisipan at Paghahangad Umasenso,"Si Doña Consolacion ay nagnanais magmukhang marangal ngunit lumitaw ang kanyang kabastusan at pang-aapi sa mahihirap."
Colonial Mentality and Social Climbing,Kolonyal na Kaisipan at Paghahangad Umasenso,"Si Padre Damaso ay ginamit ang kanyang kapangyarihan upang makipag-ugnayan sa mga maykaya at manatili sa mataas na posisyon."
Colonial Mentality and Social Climbing,Kolonyal na Kaisipan at Paghahangad Umasenso,"Ang kolonyal na kaisipan ay lumitaw sa pagmamaliit ng mga Indio sa sarili nilang kultura at pagpapahalaga sa banyaga."
Colonial Mentality and Social Climbing,Kolonyal na Kaisipan at Paghahangad Umasenso,"Si Doña Victorina ay nagbansag ng huwad na apelyidong Kastila upang pataasin ang sarili sa lipunan."
Colonial Mentality and Social Climbing,Kolonyal na Kaisipan at Paghahangad Umasenso,"Ang pagiging malapit sa prayle ay tiningnan bilang pamantayan ng mataas na antas sa lipunan."
Colonial Mentality and Social Climbing,Kolonyal na Kaisipan at Paghahangad Umasenso,"Ang huwad na dangal ng mga karakter ay nagpapakita ng malalim na sugat ng kolonyal na kaisipan."
"Love, Purity, and Faithfulness","Pag-ibig, Kadalisayan, at Katapatan","Ang pagmamahalan nina Ibarra at María Clara ay sagisag ng dalisay na pag-ibig na nahadlangan ng kapangyarihan ng simbahan."
"Love, Purity, and Faithfulness","Pag-ibig, Kadalisayan, at Katapatan","Si María Clara ay nanatiling tapat kay Ibarra kahit siya ay pinipilit na ipakasal sa iba."
"Love, Purity, and Faithfulness","Pag-ibig, Kadalisayan, at Katapatan","Ang mga liham ni Ibarra kay María Clara ay patunay ng katapatan at pag-ibig na hindi natitinag sa distansya."
"Love, Purity, and Faithfulness","Pag-ibig, Kadalisayan, at Katapatan","Si María Clara ay pumili ng kumbento bilang sakripisyo para mapanatili ang dangal ng kanyang ina at ng kanilang pamilya."
"Love, Purity, and Faithfulness","Pag-ibig, Kadalisayan, at Katapatan","Ang pag-ibig nina Ibarra at María Clara ay nasubok ng mga intriga at kasinungalingan ng simbahan."
"Love, Purity, and Faithfulness","Pag-ibig, Kadalisayan, at Katapatan","Si Elías ay nanatiling tapat sa kanyang tungkulin kay Ibarra, handang ialay ang buhay sa pangalan ng pagkakaibigan."
"Love, Purity, and Faithfulness","Pag-ibig, Kadalisayan, at Katapatan","Si Sisa ay larawan ng isang ina na dalisay ang pagmamahal at katapatan sa kanyang mga anak."
"Love, Purity, and Faithfulness","Pag-ibig, Kadalisayan, at Katapatan","Ang pagpigil kay María Clara sa kanyang sariling kalayaan ay sumira sa kanyang kaligayahan ngunit nagpahayag ng kanyang katapatan sa pamilya."
"Love, Purity, and Faithfulness","Pag-ibig, Kadalisayan, at Katapatan","Ang paninindigan ni Ibarra sa kanyang pag-ibig ay hindi nawala kahit siya ay itinuring na pilibustero."
"Love, Purity, and Faithfulness","Pag-ibig, Kadalisayan, at Katapatan","Ang kabanalan ng pag-ibig ay ipinakita bilang tapat at dalisay ngunit nabahiran ng kasinungalingan at puwersa ng kapangyarihan."
Corruption,Katiwalian,"Si Padre Damaso ay ginamit ang impluwensiya ng simbahan upang parusahan ang pamilya ni Ibarra at ipatapon siya."
Corruption,Katiwalian,"Ang gwardiya sibil ay nagnanakaw at nangongotong sa mga tao bilang bahagi ng kanilang katiwalian."
Corruption,Katiwalian,"Si Doña Consolacion ay nang-abuso ng mga bilanggo gamit ang kanyang kapangyarihan bilang asawa ng Alperes."
Corruption,Katiwalian,"Ginamit ng mga prayle ang abuloy at pista bilang paraan ng pagyaman at katiwalian."
Corruption,Katiwalian,"Si Padre Salvi ay ginamit ang posisyon upang itago ang kanyang pagnanasa kay María Clara."
Corruption,Katiwalian,"Ang pagpapahirap sa mga bilanggo ay larawan ng katiwaliang umiiral sa pamahalaan at simbahan."
Corruption,Katiwalian,"Ang huwad na paglilitis laban kay Don Rafael ay patunay ng sistematikong katiwalian sa hustisya."
Corruption,Katiwalian,"Si Kapitan Tiago ay nakinabang sa sistema ng katiwalian upang mapanatili ang kanyang kayamanan at impluwensiya."
Corruption,Katiwalian,"Ipinakita sa nobela na ang katiwalian ay ugat ng kahirapan at kawalang-katarungan sa lipunan."
Corruption,Katiwalian,"Ang pagkasangkapan ng relihiyon bilang negosyo ay pinakamatingkad na anyo ng katiwalian sa nobela."
Oppression of Women,Pang-aapi sa Kababaihan,"Si María Clara ay pinilit sa kasal na hindi niya gusto upang mapanatili ang dangal ng pamilya."
Oppression of Women,Pang-aapi sa Kababaihan,"Si Doña Victorina ay biktima ng kolonyal na pamantayan ng kagandahan na nagtulak sa kanya na itakwil ang sariling pagkakakilanlan."
Oppression of Women,Pang-aapi sa Kababaihan,"Si Sisa ay inabuso ng kanyang asawa at nawalan ng proteksiyon mula sa lipunan."
Oppression of Women,Pang-aapi sa Kababaihan,"Si Doña Consolacion ay ginamit ang kapangyarihan ng kanyang asawa upang magmalupit sa kapwa babae at alipin."
Oppression of Women,Pang-aapi sa Kababaihan,"Si María Clara ay isinakripisyo ang kanyang kalayaan para sa lihim ng kanyang ina at utos ng simbahan."
Oppression of Women,Pang-aapi sa Kababaihan,"Ang mga babae ay inilarawan bilang walang boses sa mga desisyong panlipunan at panrelihiyon."
Oppression of Women,Pang-aapi sa Kababaihan,"Si Doña Victorina ay nagtago sa huwad na identidad upang maiwasan ang pang-aapi laban sa kanyang pagiging Indio."
Oppression of Women,Pang-aapi sa Kababaihan,"Ang pagpigil kay María Clara na makapili ng sarili niyang landas ay malinaw na anyo ng pang-aapi sa kababaihan."
Oppression of Women,Pang-aapi sa Kababaihan,"Si Sisa ay iniwan ng kanyang asawa at pinabayaan ng lipunan, sagisag ng walang proteksiyon na babae sa kolonya."
Oppression of Women,Pang-aapi sa Kababaihan,"Ang kababaihan sa nobela ay ginamit bilang kasangkapan ng kapangyarihan at dangal ng pamilya, hindi bilang malayang indibidwal."
Hope and Reform,Pag-asa at Reporma,"Ang plano ni Ibarra na paaralan ay simbolo ng pag-asa at reporma para sa kabataan ng bayan."
Hope and Reform,Pag-asa at Reporma,"Si Pilosopo Tasyo ay naniniwala na ang pagbabago ay dumarating sa pamamagitan ng edukasyon at kaisipan ng kabataan."
Hope and Reform,Pag-asa at Reporma,"Si Elías ay umaasang darating ang panahon na makakamtan ng bayan ang tunay na kalayaan."
Hope and Reform,Pag-asa at Reporma,"Si Don Rafael ay larawan ng pag-asa sa makatarungang lipunan bago siya paratangan at ikulong."
Hope and Reform,Pag-asa at Reporma,"Ang pagtutulungan nina Ibarra at Elías ay simbolo ng reporma sa pagitan ng edukasyon at pagkilos."
Hope and Reform,Pag-asa at Reporma,"Ang huling habilin ni Elías kay Basilio ay nagbigay ng pag-asa para sa bagong henerasyon ng mga Pilipino."
Hope and Reform,Pag-asa at Reporma,"Si Ibarra ay naniniwala na ang pagbabago ay posible sa mapayapang paraan ng reporma."
Hope and Reform,Pag-asa at Reporma,"Ang pangarap ni María Clara ng katahimikan ay tanda ng pag-asa sa kabila ng kanyang pagkakakulong sa kumbento."
Hope and Reform,Pag-asa at Reporma,"Si Basilio, bilang naiwang anak, ay sagisag ng patuloy na pag-asa ng bayan para sa kinabukasan."
Hope and Reform,Pag-asa at Reporma,"Ipinakita sa nobela na ang pag-asa at reporma ay mabagal ngunit posible sa kabila ng katiwalian at pang-aapi."
Hospitality,Pagkamapagpatuloy,"Sa tahanan ni Kapitan Tiago, ang pagkamapagpatuloy ay hindi lamang isang asal kundi isang pagpapakita ng dangal at pagnanais na mapanatili ang mataas na tingin ng lipunan sa kanya."
Hospitality,Pagkamapagpatuloy,"Ang bukas na pinto ni Kapitan Tiago sa mga panauhin ay sumisimbolo sa pagnanais niyang maging tulay sa pagitan ng mga Espanyol at mga Pilipino."
Hospitality,Pagkamapagpatuloy,"Sa piging para kay Ibarra, ang pagkamapagpatuloy ay naging maskara ng panlipunang pagpapanggap at paghahangad ng kapangyarihan."
Hospitality,Pagkamapagpatuloy,"Ang mainit na pagtanggap sa mga bisita ay ginamit ni Kapitan Tiago upang patunayan ang kaniyang katapatan sa simbahan at sa pamahalaang kolonyal."
Hospitality,Pagkamapagpatuloy,"Sa ilalim ng marangyang handaan, ipinapakita ng nobela kung paano nagiging instrumento ang pagkamapagpatuloy sa pagpapanatili ng hierarkiyang panlipunan."
Hospitality,Pagkamapagpatuloy,"Sa bawat alay na pagkain at ngiti, makikita ang pagsisikap ni Kapitan Tiago na mapanatili ang mabuting imahe sa harap ng mga paring Espanyol."
Hospitality,Pagkamapagpatuloy,"Ang pagkamapagpatuloy sa bahay ni Tiago ay hindi lamang kabutihang-asal kundi isang taktika upang mapalapit sa mga may kapangyarihan."
Hospitality,Pagkamapagpatuloy,"Ipinakita ng piging na ang pagkamapagpatuloy ay maaaring magtaglay ng pagkukunwari, sapagkat nakaugat ito sa takot at pagnanais ng pagtanggap."
Hospitality,Pagkamapagpatuloy,"Ang handaan ay sumasalamin sa kulturang Pilipinong marunong tumanggap ng bisita, ngunit sa ilalim nito’y nakatagong pagnanais na mapuri at makilala."
Hospitality,Pagkamapagpatuloy,"Sa lipunang pinaghaharian ng mga Espanyol, ang pagkamapagpatuloy ay naging paraan ng mga Pilipino upang mapanatili ang ugnayan at kaligtasan."
Hospitality,Pagkamapagpatuloy,"Ang pagkamapagpatuloy ni Kapitan Tiago ay naging simbolo ng kaniyang pagnanais na mapanatili ang kaniyang impluwensya sa lipunang kolonyal."
Hospitality,Pagkamapagpatuloy,"Sa bawat ngiti at pag-abot ng alak, nakatago ang takot na mawalan ng dangal sa mata ng mga Espanyol."
Hospitality,Pagkamapagpatuloy,"Ang labis na pagkamapagpatuloy ay nagsilbing manipestasyon ng kulturang Pilipinong marunong gumalang, ngunit madaling mapagsamantalahan."
Hospitality,Pagkamapagpatuloy,"Sa ilalim ng mga parol at musika, ipinakita ng nobela kung paanong ang pagkamapagpatuloy ay naging sandata ng mga Pilipino laban sa panghuhusga."
Hospitality,Pagkamapagpatuloy,"Ang kabutihang ipinakita ni Kapitan Tiago sa mga panauhin ay naglalarawan ng matinding pagnanais niyang maging bahagi ng lipunang Espanyol, kahit kapalit ay ang sariling dangal."
Religion,Relihiyon,"Ang relihiyon sa nobela ay ginamit bilang sandata ng mga makapangyarihan upang kontrolin ang damdamin at pag-iisip ng mga mamamayan."
