book_title,chapter_number,chapter_title,sentence_number,sentence_text
Noli Me Tangere,2,Crisostomo Ibarra,10,Ikinuwento rin ng tinyente ang patungkol sa kabutihang asal ng yumaong ama ni Ibarra.
Noli Me Tangere,2,Crisostomo Ibarra,11,Nabawasan ang pag-aalinlangan ni Ibarra sa tunay na kinahatnan ng ama dahil hanggang ngayon ay wala parin siyang nalalaman tungkol sa pagkamatay ng ama.
Noli Me Tangere,2,Crisostomo Ibarra,12,Nilisan ng tinyente ang bulwagan at naiwang mag-isa si Ibarra.
Noli Me Tangere,2,Crisostomo Ibarra,13,Nilapitan niya ang mga kababaihan.
Noli Me Tangere,2,Crisostomo Ibarra,14,Batid niyang hindi niya mapipigilang hindi batiin ang mga hiyas ng Pilipinas.
Noli Me Tangere,2,Crisostomo Ibarra,15,Kasunod namang nilapitan ni Ibarra ang grupo ng mga kalalakihan.
Noli Me Tangere,2,Crisostomo Ibarra,16,Isang kaugalian sa Alemanya na ipakilala ang sarili sa grupo ng mga panauhin kung ito ay walang kasama at makausap sa isang pagtitipon.
Noli Me Tangere,2,Crisostomo Ibarra,17,Humingi ito ng pasensya dahil sa nasabing kaugalian.
Noli Me Tangere,2,Crisostomo Ibarra,18,Ginawa niya ang kaugaliang ito hindi para ipaalam na siya’y galing sa ibang lugar kundi dahil ito ang nararapat niyang gawin.
Noli Me Tangere,2,Crisostomo Ibarra,19,Nagpakilala siya bilang si Crisostomo Ibarra Y Magsalin.
Noli Me Tangere,2,Crisostomo Ibarra,20,Isang ginoo ang lumapit kay Ibarra na may magandang suot na makikitaan ng mga makikinang na dyamanteng butones.
Noli Me Tangere,2,Crisostomo Ibarra,21,"Siya si Kapitan Tinong, matalik na kaibigan ni Kapitan Tiago."
Noli Me Tangere,2,Crisostomo Ibarra,22,Kilalang-kilala niya rin ang ama ni Ibarra.
Noli Me Tangere,2,Crisostomo Ibarra,23,Inanyayahan niya si Ibarra na pumunta sa kanyang bahay upang maghapunan kinabukasan ngunit hindi makakarating si Ibarra dahil siya ay pupunta sa San Diego.
Noli Me Tangere,2,Crisostomo Ibarra,24,Handa na ang lahat para sa hapunan.
Noli Me Tangere,3,Ang Hapunan,1,Galit na galit parin si Padre Damaso dahil sa mainit na talakayan na nangyari.
Noli Me Tangere,3,Ang Hapunan,2,Sinisipa niya lahat ng mga silyang nakaharang sa dadaanan niya.
Noli Me Tangere,3,Ang Hapunan,3,Magkausap naman sina Don Tiburcio at Padre Sibyla habang papalapit sa hapagkainan.
Noli Me Tangere,3,Ang Hapunan,4,"Dahil sa paggigitgitan, natapakan ng tinyente ang laylayan ng damit ni Donya Victorina dahilan kung bakit nagalit ito."
Noli Me Tangere,3,Ang Hapunan,5,Umupo sa kabisera si Ibarra samantalang pinagtatalunan naman ng dalawang pari kung sino ang dapat maupo sa sentrong upuan.
Noli Me Tangere,3,Ang Hapunan,6,"Para kay Padre Sibyla, si Padre Damaso dapat ang maupo doon dahil siya ang matagal nang kaibigan ni Kapitan Tiago at siya din ang kumpesor ng pamilya nito."
Noli Me Tangere,3,Ang Hapunan,7,Hindi sumangayon si Padre Damaso.
Noli Me Tangere,3,Ang Hapunan,8,"Sa halip, iginiit niya na si Padre Sibyla ang nararapat na umupo doon dahil siya ang kura sa lugar an iyon."
Noli Me Tangere,3,Ang Hapunan,9,Uupo na sana si Padre Sibyla nang napansin niya ang tinyente at inalok ang upuan.
Noli Me Tangere,3,Ang Hapunan,10,Tumanggi ang tinyente sa kadahilanang ayaw niyang pumagitna sa dalawang pari.
Noli Me Tangere,3,Ang Hapunan,11,Wala man lang nakaalala sa may pahanda kundi si Ibarra.
Noli Me Tangere,3,Ang Hapunan,12,"Ngunit tumanggi si Kapitan Tiago, katulad ng nagyayari sa karaniwang handaan."
Noli Me Tangere,3,Ang Hapunan,13,"Mas lalo namang tumindi ang galit ni Padre Damaso ng inihanda sa kaniya ang tinola na puro upo, leeg, at pakpak."
Noli Me Tangere,3,Ang Hapunan,14,Habang ang inihanda naman kay Ibarra ay puro masasarap na bahagi ng tinola dahil niluto naman talaga ito para sa kanya.
Noli Me Tangere,3,Ang Hapunan,15,"Habang nasa hapagkainan, patuloy ang pakikipag-usap ni Ibarra sa iba pang panauhin."
Noli Me Tangere,3,Ang Hapunan,16,"Batay sa sagot ni Ibarra sa tanong ni Laruja, siya ay mahigit pitong taong nawala sa Pilipinas pero kahit kailan hindi niya ito nakalimutan."
Noli Me Tangere,3,Ang Hapunan,17,"Sa halip, ang Pilipinas pa ang nakalimot sa kanya dahil wala man lang nagbalita sa kanya ng kinahantungan ng kanyang ama na si Don Rafael."
Noli Me Tangere,3,Ang Hapunan,18,Tinanong ni Donya Victorina kung bakit hindi ito tumelegrama.
Noli Me Tangere,3,Ang Hapunan,19,Ito ay dahil nasa ibang bayan siya ng dalawang taon.
Noli Me Tangere,4,Erehe at Pilibustero,1,Lumabas si Ibarra upang makalanghap ng sariwang hangin.
Noli Me Tangere,4,Erehe at Pilibustero,2,Binaybay niya ang daan papuntang plasa ng Binondo.
Noli Me Tangere,4,Erehe at Pilibustero,3,Napansin niya na ganun parin ang itsura ng lugar.
Noli Me Tangere,4,Erehe at Pilibustero,4,Pitong taon siya nawala pero parang nawala lang siya ng napakaikling gabi dahil wala man lang nagbago.
Noli Me Tangere,4,Erehe at Pilibustero,5,Nandoon parin ang ang mga tindera ng prutas at gulay bago siya umalis papuntang Europa.
Noli Me Tangere,4,Erehe at Pilibustero,6,Sa paningin ni Ibarra ay wala man lang pag-unlad ang siyudad na iyon.
Noli Me Tangere,4,Erehe at Pilibustero,7,Habang pinagmamasdan ang paligid may naramdaman siyang tumapik sa kaniyang balikat.
Noli Me Tangere,4,Erehe at Pilibustero,8,Naroon si Tinyente Guevarra.
Noli Me Tangere,4,Erehe at Pilibustero,9,Nagtanong si Ibarra sa tinyente kung alam niya ba ang dahilan ng pagkabilanggo ng ama.
Noli Me Tangere,4,Erehe at Pilibustero,10,Isinalaysay ni Tinyente Guevarra ang dahilan habang sila ay pabalik sa kwartel.
Noli Me Tangere,4,Erehe at Pilibustero,11,"Ayon sa kwento ng tinyente, si Don Rafael ang pinakamayan sa kanyang lalawigan."
Noli Me Tangere,4,Erehe at Pilibustero,12,"Marami ang gumagalang at nagmamahal sa kaniya, meron din namang mga galit at naiinggit."
Noli Me Tangere,4,Erehe at Pilibustero,13,"Ilang buwan matapos ang pag-alis ni Ibarra, naging mainit sa isa’t-isa sina Don Rafael at Padre Damaso."
Noli Me Tangere,4,Erehe at Pilibustero,14,Inakusahan si Don Rafael na hindi nangungumpisal.
Noli Me Tangere,4,Erehe at Pilibustero,15,Nung mga panahon na iyon ay mayroong isang Kastilang artilyero na naging tampulan ng tukso dahil sa kamang-mangan.
Noli Me Tangere,4,Erehe at Pilibustero,16,"Isang araw ay binigyan ng isang dokumento ang artilyero, nagdunung-dunungan ito sa pagbasa."
Noli Me Tangere,4,Erehe at Pilibustero,17,Pinagtatawanan siya ng isang grupo ng mga bata.
Noli Me Tangere,4,Erehe at Pilibustero,18,Sa galit ng kastila ay hinabol nito ang mga paslit.
Noli Me Tangere,4,Erehe at Pilibustero,19,Nang hindi niya mahabol ang mga nang-aasar na bata ay binato niya ito ng baston.
Noli Me Tangere,4,Erehe at Pilibustero,20,Tumama naman ang baston sa ulo ng isang bata dahilan kung bakit ito natumba sa kalsada.
Noli Me Tangere,4,Erehe at Pilibustero,21,Kinuha naman ng artilyero ang pagkakataon para pagsisipain ito.
Noli Me Tangere,4,Erehe at Pilibustero,22,Nagkataong dumaan doon si Don Rafael.
Noli Me Tangere,4,Erehe at Pilibustero,23,Hinawakan agad niya ang artilyero sa bisig at inawat ito.
Noli Me Tangere,4,Erehe at Pilibustero,24,"Dahil sa malaking pangangatawang ni Don Rafael, inakala nilang sinasaktan nito ang artilyero."
Noli Me Tangere,4,Erehe at Pilibustero,25,"Sa pag-alma ng artilyero, umitsa ito ilang talampakan mula sa kinatatayuan ni Don Rafael."
Noli Me Tangere,4,Erehe at Pilibustero,26,Tumama ang ulo ng artilyero sa malaking bato dahilan kung bakit sumuka ito ng dugo at namatay makalipas ang ilang sandali.
Noli Me Tangere,4,Erehe at Pilibustero,27,"Nag-imbestiga ang pulisya, nakulong si Don Rafael at naglabasan ang mga lihim na kaaway nito."
Noli Me Tangere,4,Erehe at Pilibustero,28,Inakusahan si Don Rafael na erehe at pilibustero.
Noli Me Tangere,4,Erehe at Pilibustero,29,Humingi ng tulong ang tinyente upang mapawalang sala si Don Rafael nung mga panahong iyon.
Noli Me Tangere,4,Erehe at Pilibustero,30,Subalit walang naglakas ng loob na tumulong sa pangangamba na baka magkakaso rin sila.
Noli Me Tangere,4,Erehe at Pilibustero,31,Nagsulputan ang mga kaaway ni Don Rafael at dumami ang huwad na testigo laban sa kanya.
Noli Me Tangere,4,Erehe at Pilibustero,32,Namatay si Don Rafael sa likod ng mga rehas na bakal ng walang mahal sa buhay na nakiramay.
Noli Me Tangere,4,Erehe at Pilibustero,33,Nakakapanghinayang dahil kung kailan nalagutan ng hiniga si Don Rafael ay saka palang napatunayan na siya ay walang sala.
Noli Me Tangere,5,Ang Liwanag sa Gabing Madilim,1,Dumating si Ibarra sa kanyang tinutuluyan sa Fonda de Lala.
Noli Me Tangere,5,Ang Liwanag sa Gabing Madilim,2,Agad itong naupo sa kanyang silid.
Noli Me Tangere,5,Ang Liwanag sa Gabing Madilim,3,Nagmasid-masid ito sa kapaligiran habang may gulong tumatakbo sa kanyang isip dahil sa sinapit ng ama.
Noli Me Tangere,5,Ang Liwanag sa Gabing Madilim,4,Natanaw niya mula sa kanyang bintana ang maliwanag na bahay sa kabila ng ilog.
Noli Me Tangere,5,Ang Liwanag sa Gabing Madilim,5,Naririnig niya ang tunog na gawa ng orkestra at ang kalansing ng mga piggan at kubyertos.
Noli Me Tangere,5,Ang Liwanag sa Gabing Madilim,6,Natanaw din niya ang isang magandang babae na may balingkinitan na pangangatawan at may kasuotang diyamante at ginto.
Noli Me Tangere,5,Ang Liwanag sa Gabing Madilim,7,Siya si Maria Clara.
Noli Me Tangere,5,Ang Liwanag sa Gabing Madilim,8,Giliw na giliw na nakatingin ang lahat sa ganda ng dalaga.
Noli Me Tangere,5,Ang Liwanag sa Gabing Madilim,9,Dahil sa pagod na isip at katawan ni Ibarra ay mabilis siyang nahimlay.
Noli Me Tangere,6,Kapitan Tiago,1,Si Kapitan Tiago ay maliit at may kutis na kayumanggi.
Noli Me Tangere,6,Kapitan Tiago,2,Batid sa itsura niya ang pagiging masunurin at pagiging relihiyoso.
Noli Me Tangere,6,Kapitan Tiago,3,"Meron siyang maitim na buhok, singkit na mga mata, at matangos na ilong."
Noli Me Tangere,6,Kapitan Tiago,4,"Kundi dahil sa madalas niyang pagtatabako at pagnganga na dahilan ng pagtambok ng kaniyang pisngi, masasabing gwapo si Kapitan Tiago."
Noli Me Tangere,6,Kapitan Tiago,5,Tinitingala si Kapitan Tiago dahil isa siya sa pinakamayamang mangangalakal sa Binondo.
Noli Me Tangere,6,Kapitan Tiago,6,Marami siyang lupain at ari-arian sa iba’t-ibang lugar.
Noli Me Tangere,6,Kapitan Tiago,7,Naniniwala siya na ang pagiging malapit niya sa Diyos at sa simbahan ay base sa magandang gawa.
Noli Me Tangere,6,Kapitan Tiago,8,Hindi ito nagdadasal kahit na may matinding pangangailangan.
Noli Me Tangere,6,Kapitan Tiago,9,"Sapagkat napakayaman, pera ang kaniyang pinagdarasal."
Noli Me Tangere,6,Kapitan Tiago,10,Sa tirahan ni Kapitan Tiago ay makikitang isang magandang kapilya na puno ng santo’t santa.
Noli Me Tangere,6,Kapitan Tiago,11,Hindi siya nagpapahuli kung abuloy sa panrelihiyon ang pag-uusapan.
Noli Me Tangere,6,Kapitan Tiago,12,"Sa taunang parangal sa Birhen ng Antipolo, si Kapitan Tiago ang karaniwang gumagasta ng malaki para balikatin ang halaga ng dalawang misa na kinapapalooban ng mga awitin, kwitis, at paputok."
Noli Me Tangere,6,Kapitan Tiago,13,Handa siyang gumastos ng malaki dahil naniniwala naman siya na bultu-bultong biyaya naman ang matatanggap niya taun-taon.
Noli Me Tangere,6,Kapitan Tiago,14,Malapit din si Kapitan Tiago sa pamahalaan katulad ng pagiging malapit nito sa simbahan.
Noli Me Tangere,6,Kapitan Tiago,15,Handa siyang sumunod kahit sa mga maliliit na opisyal.
Noli Me Tangere,6,Kapitan Tiago,16,Mapulitika si Kapitan Tiago.
Noli Me Tangere,6,Kapitan Tiago,17,"Lagi siyang may handang orkestra na bumabati at humaharana sa mga kaarawan ng Kapitan Heneral, alkalde at mga piskal."
Noli Me Tangere,6,Kapitan Tiago,18,Nag-iisang anak si kapitan Tiago ng isang mag-aasukal.
Noli Me Tangere,6,Kapitan Tiago,19,Mayamang maituturing ang mga magulang nito ngunit ganid na ayaw gastahan ang pag-aaral ng anak.
Noli Me Tangere,6,Kapitan Tiago,20,Napilitan itong mamasukan sa isang Dominikong pari noong siya ay musmos pa lang.
Noli Me Tangere,6,Kapitan Tiago,21,Umalis si Kapitan Tiago sa simbahan ng mamatay ang Dominikong pari.
Noli Me Tangere,6,Kapitan Tiago,22,Sa kanyang pagbibinata ay hinarap niya ang pagiging mangangalakal.
Noli Me Tangere,6,Kapitan Tiago,23,"Nakilala at kalauna’y pinakasalan niya ang isang magandang babae na taga-Santa Cruz, si Pia Alba."
Noli Me Tangere,6,Kapitan Tiago,24,Nagtulungan ang dalawa upang paunlarin ang kanilang kabuhayan.
Noli Me Tangere,6,Kapitan Tiago,25,Panay ang pagpapayaman ng dalawa ngunit ang isang malungkot na pangyayari sa anim na taon nilang pagsasama ay hindi man lang sila nagkaanak.
Noli Me Tangere,6,Kapitan Tiago,26,"Pinayuhan siya ni Padre Damaso na magpunta sa Obando, sumayaw at humingi ng isang sanggol na lalaki sa piyesta ni San Pascual Bailon."
Noli Me Tangere,6,Kapitan Tiago,27,Dahil sa payo ay nagdalang tao si Donya Pia.
Noli Me Tangere,6,Kapitan Tiago,28,Pero isang napakaselang paglilihi ang dinanas nito.
Noli Me Tangere,6,Kapitan Tiago,29,Naging malungkutin siya at nawala ang dating matamis na ngiti.
Noli Me Tangere,6,Kapitan Tiago,30,Isang napakataas na lagnat ang dumapo dito dahilan ng kanyang pagkamatay.
Noli Me Tangere,6,Kapitan Tiago,31,Naiwan niya ang isang magandang sanggol na babae.
Noli Me Tangere,6,Kapitan Tiago,32,Pinangalanan itong Maria Clara bilang pasasalamat kina Nuestra Señora de Salambao at Santa Clara.
Noli Me Tangere,6,Kapitan Tiago,33,Naging ninong ni Maria Clara si Padre Damaso dahil ito ay kaibigan at tagapayo ng mag-asawa.
Noli Me Tangere,6,Kapitan Tiago,34,Lumaki si Maria Clara sa pangangalaga ni Tiya Isabel.
Noli Me Tangere,6,Kapitan Tiago,35,Nanirahan ito sa San Diego dahil tuwang-tuwa sa kaniya si Padre Damaso.
Noli Me Tangere,6,Kapitan Tiago,36,"Si Maria Clara ay mayroong malalaki at maitim na mga mata, mahahabang pilikmata, mamula-mulang kulot na buhok, matangos na ilong, maninipis na labi, at makinis at maputing balat."
Noli Me Tangere,6,Kapitan Tiago,37,Naging sentro ng pagmamahal si Maria Clara.
Noli Me Tangere,6,Kapitan Tiago,38,Giliw na giliw maging ang mga pari sa kanya.
Noli Me Tangere,6,Kapitan Tiago,39,Lagi binibihisan si Maria Clara ng puting-puting damit at inaadornohon ng mga sariwang halaman tuwing prusisyon.
Noli Me Tangere,6,Kapitan Tiago,40,Ipinasok sa kumbento ng Santa Catalina si Maria Clara nang siya ay magdalaga.
Noli Me Tangere,6,Kapitan Tiago,41,Kailangan daw nitong matutunan ang isang istriktong pag-aaral kung paano maging relihiyosa.
Noli Me Tangere,6,Kapitan Tiago,42,Malungkot siyang nagpaalam kay Padre Damaso at kay Ibarra na siyang kaibigan niya simula pagkabata.
Noli Me Tangere,6,Kapitan Tiago,43,Pitong taon itong mamamalagi sa kumbento kung saan ay paminsan-minsan lang maaaring makausap ang mga tagalabas sa pamamagitan ng mga siwang ng rehas na bakal.
Noli Me Tangere,6,Kapitan Tiago,44,Nang pumasok sa beateryo si Maria Clara ay siya namang alis ni Crisostomo Ibarra.
Noli Me Tangere,6,Kapitan Tiago,45,Maliit pa lamang ang dalawa ay may nabuo nang plano ang kanilang mga magulang na sina Don Rafael at Kapitan Tiago.
Noli Me Tangere,6,Kapitan Tiago,46,Kahit na nasa magkalayong lugar sina Ibarra at Maria Clara ay matapat parin silang nag- iibigan.
Noli Me Tangere,7,Ligawan sa Asotea,1,Sa simbahan palang ay di na mapakali si Maria Clara dahil alam niyang darating si Ibarra sa araw na iyon.
Noli Me Tangere,7,Ligawan sa Asotea,2,"Sa bahay, matapos ang almusal, naggagantsilyo si Maria Clara upang hindi mainip sa pag- iintay."
Noli Me Tangere,7,Ligawan sa Asotea,3,Hindi mapakali ang dalaga sa tuwing may karwaheng hihinto sa tapat ng kanilang bahay sa pag-aakalang si Ibarra na ang dumating.
Noli Me Tangere,7,Ligawan sa Asotea,4,Pinayuhan ng doktor na magbakasyon si Maria Clara sa San Diego upang muling maibalik ang pamumula ng pisngi nito.
Noli Me Tangere,7,Ligawan sa Asotea,5,Tuwang tuwa naman si Maria Clara dahil doon ay makikita niya si Ibarra.
Noli Me Tangere,7,Ligawan sa Asotea,6,Ilang saglit lang ay dumating na ang binate.
Noli Me Tangere,7,Ligawan sa Asotea,7,Hindi maitago ang pananabik ni Maria Clara kay Ibarra.
Noli Me Tangere,7,Ligawan sa Asotea,8,Pumasok si Maria Clara sa kanyang silid upang mag-ayos ng sarili habang tinutulungan naman siya ni Tiya Isabel.
Noli Me Tangere,7,Ligawan sa Asotea,9,Nagkita ang dalawa sa asotea at doon nag-usaP. Nagkaroon ng masinsinang usapan tungkol sa kanilang nararamdaman at sumpaan sa isa’t-isa.
Noli Me Tangere,7,Ligawan sa Asotea,10,Sabay na sinariwa ang kanilang karanasan nung sila’y bata pa pati na rin ang kanilang mga pag-aaway at pagbabati.
Noli Me Tangere,7,Ligawan sa Asotea,11,Ipinakita ni Ibarra ang tuyong dahon ng sambong na nasa pitaka niya.
Noli Me Tangere,7,Ligawan sa Asotea,12,Ipinakita din ni Ibarra ang liham niya kay Maria Clara bago siya magtungo papuntang Europa.
Noli Me Tangere,7,Ligawan sa Asotea,13,Sinabi niya na ang dahilan ng kanyang pagpunta sa San Diego ay dahil sa ama.
Noli Me Tangere,7,Ligawan sa Asotea,14,Ito raw ay makakabuti sa kanyang kinabukasan.
Noli Me Tangere,7,Ligawan sa Asotea,15,Habang nagbabasa si Maria Clara ay pinatigil siya ni Ibarra dahil naalala niyang Todos los Santos na bukas at marami pa siyang gagawin.
Noli Me Tangere,7,Ligawan sa Asotea,16,Hindi napigiling maluha ni Maria Clara dahil sa pangungulila niya kay Ibarra.
Noli Me Tangere,7,Ligawan sa Asotea,17,Inutusan naman siya ni Kapitan Tiago na magtirik ng pinakamahal na kandila kay San Roque at San Rafael dahil napakaraming bandido sa daan.
Noli Me Tangere,8,Ang mga Alaala,1,Ang kalungkutang naramdaman ni Ibarra sa pag-alis niya sa bahay ni Maria Clara ay napalitan ng kagalakan nang libutin niya ang kamaynilaan sakay sa kalesa.
Noli Me Tangere,8,Ang mga Alaala,2,"Nandoon parin ang ingay at gulo ng maraming karwahe, kalesa at kareta."
Noli Me Tangere,8,Ang mga Alaala,3,Ikinalungkot ni Ibarra ang walang pagbabagong naganap sa lalawigan.
Noli Me Tangere,8,Ang mga Alaala,4,Baku-bako parin ang mga kalsada at nandoon parin ang makapal na alikabok na pumupuwing sa lahat ng nagdadaan.
Noli Me Tangere,8,Ang mga Alaala,5,Ang mga alikabok ay nagiging malagkit na putik kapag umuulan na siyang tumatalsik sa mga taong dumadaan.
Noli Me Tangere,8,Ang mga Alaala,6,Pagkatuyo ng daan ay sapilitang pinagtatambak ng baku-bakong daan ang mga billanggo habang nakakadena ang mga paa.
Noli Me Tangere,8,Ang mga Alaala,7,Ang palo ng mga gwardiya sibil ang lumalatay sa katawan ng mga bilanggo dahil sa mala-pagong na pagkilos nito.
Noli Me Tangere,8,Ang mga Alaala,8,Natanaw ng binata ang pagbabago sa Escolta.
Noli Me Tangere,8,Ang mga Alaala,9,Ang dating hilera ng bodega ay naging mga gusali na.
Noli Me Tangere,8,Ang mga Alaala,10,Nakita din ni Ibarra ang pagawaan ng tabako sa Arroceros.
Noli Me Tangere,8,Ang mga Alaala,11,Nandoon parin ang mga kakabaihang nagtutulong-tulong sa pagpapatuyo ng dahon ng tabako.
Noli Me Tangere,8,Ang mga Alaala,12,Habang patuloy na nagmamasid si Ibarra sa paligid ay may natanaw siyang isang karwaheng papalapit sa kaniya.
Noli Me Tangere,8,Ang mga Alaala,13,"Nakasakay doon si Padre Damaso na nakakunot ang noo at tila may malalim na iniisiP. Sa pagdaan ng karwaheng sinasakyan ni Ibarra sa Hardin ng Botaniko, naalala niya ang magagandang halaman sa Europa."
Noli Me Tangere,8,Ang mga Alaala,14,Agad namang naparam sa isip ng binata ang maririkit at makukulay na mga bulaklak sa hardin ng mapadaan sa Bagumbayan na kilala bilang lugar ng kamatayan.
Noli Me Tangere,8,Ang mga Alaala,15,Nanariwa sa kanya ang payo ng kanyang gurong pari na ang karunungan daw ang siyang liwanag sa kamangmangan.
Noli Me Tangere,8,Ang mga Alaala,16,Kung may pagkakataon na mangibang bansa ay kuhanin ang opurtunidad dahil ito ang magpapaunalad sa sarili na siyang makakatulong din sa pagpapaunlad ng bansang kinabibilangan.
Noli Me Tangere,9,Ang Balita Tungkol sa Bayan,1,Papunta si Padre Damaso sa bahay nila Kapitan Tiago nang makasalubong nito si Ibarra.
Noli Me Tangere,9,Ang Balita Tungkol sa Bayan,2,Naabutan ni Padre Damaso si Maria Clara at Tiya Isabel na papunta sa beateryo upang kuhanin ang mga gamit ng dalaga.
Noli Me Tangere,9,Ang Balita Tungkol sa Bayan,3,Parang di sang-ayon ang pari kaya bubulong-bulong itong tumungo sa bahay ng kapitan.
Noli Me Tangere,9,Ang Balita Tungkol sa Bayan,4,Niyaya ni Padre Damaso si Kapitan Tiago sa silid-aklatan upang mag-usap ng masinsinan.
Noli Me Tangere,9,Ang Balita Tungkol sa Bayan,5,"Sa kabilang dako, si Padre Sibyla naman ay madaling tumungo sa kumbento pagkatapos ng kaniyang misa."
Noli Me Tangere,9,Ang Balita Tungkol sa Bayan,6,Naabutan niya ang isang matandang pari na nakaupo sa silya.
Noli Me Tangere,9,Ang Balita Tungkol sa Bayan,7,Nanlalalim ang mga mata nito at parang naninilaw ang balat.
Noli Me Tangere,9,Ang Balita Tungkol sa Bayan,8,Bakas sa itsura nito ang malapit ng kamatayan dahil sa katandaan at karamdaman.
